id,nombre,nombres_alternativos,via,nivel_curaduria,dimension_principal,dimensiones_pesos,perfil_cognitivo_pesos,familia_paes,tendencia,tendencia_fuente,tendencia_nota,nota_honesta_v1,empleabilidad_1er_anio,ingreso_4to_anio_rango,duracion_real_promedio,arancel_referencia_rango,actualizado_en
construccion_civil,Construcción Civil,Ingeniería en Construcción,universitaria,profunda,tec,tec:0.6|ges:0.2|dat:0.2,log:0.30|esp:0.30|mem:0.20|ver:0.20,CL+M1+M2,transformacion,CChC 2025: contracción cíclica de inversión + déficit habitacional de ~980.000 viviendas (Balance de Vivienda 2025),Ciclo a la baja hoy; demanda estructural de mediano plazo por déficit habitacional,"El rubro anda golpeado hoy, pero faltan un millón de casas por construir: el ciclo baja y sube, el déficit habitacional se queda. Barro y planificación.",,,,,
contador_auditor,Contador Auditor,Contabilidad y Auditoría,universitaria,profunda,dat,dat:0.7|ges:0.3,log:0.35|esp:0.05|mem:0.30|ver:0.30,CL+M1,,,,"Toda empresa del país te necesita por ley — demanda estable garantizada. La parte mecánica la está tomando el software: el valor está en interpretar, no en digitar.",,,,,
derecho,Derecho,Licenciatura en Ciencias Jurídicas,universitaria,profunda,soc,soc:0.4|ges:0.3|dat:0.3,log:0.30|esp:0.00|mem:0.30|ver:0.40,CL+M1+Historia,estable,"mifuturo.cl 2024: empleabilidad 77,8-80,8%; mercado saturado especialmente en Santiago",Carrera sólida con sobreoferta de titulados en la capital,Sigue siendo una gran caja de herramientas para muchas pegas. Pero somos muchos abogados: diferénciate o prepárate para competir parejo.,,,,,
diseno,Diseño,Diseño Gráfico; Diseño Industrial; UX/UI,universitaria,profunda,cre,cre:0.7|tec:0.3,log:0.25|esp:0.35|mem:0.10|ver:0.30,CL+M1,,,,"Del logo al producto digital: el diseño mutó de hacer cosas bonitas a hacer cosas usables. La rama UX/digital paga mejor; la IA aprieta lo genérico, premia el criterio.",,,,,
educacion_diferencial,Educación Diferencial,Psicopedagogía (afín),universitaria,profunda,soc,soc:0.8|sal:0.2,log:0.20|esp:0.05|mem:0.30|ver:0.45,CL+M1 (+Ley 20.903),expansion,Elige Educar 2021: déficit docente estructural; demanda creciente por inclusión escolar,Cada colegio necesita especialistas y no los encuentra,Cada colegio del país te necesita por ley y no te encuentra. Trabajo uno-a-uno donde los avances chicos son victorias enormes.,,,,,
enfermeria,Enfermería,,universitaria,profunda,sal,sal:0.6|soc:0.4,log:0.20|esp:0.05|mem:0.35|ver:0.40,CL+M1+Ciencias,expansion,"OCDE Health at a Glance 2023: 4,4 enfermeras por 1.000 hab vs 9,2 promedio OCDE","Déficit estructural; la limitante histórica son los cargos, no los titulados","Trabajo que se siente y sobra donde ejercer. También: turnos de noche, cuerpos reales y decisiones con la adrenalina arriba.",,,,,
fonoaudiologia,Fonoaudiología,,universitaria,profunda,sal,sal:0.5|soc:0.3|cie:0.2,log:0.20|esp:0.05|mem:0.30|ver:0.45,CL+M1+Ciencias,expansion,Envejecimiento poblacional (INE proyección 2035); EVIDENCIA INSUFICIENTE en cifras de déficit específicas,Demanda probable por envejecimiento; sin cifra dura de brecha,"Le devuelves a alguien la voz o el tragar, que es devolverle la dignidad. Pega de paciencia infinita y avances que se miden en semanas, no en días.",,,,,
gastronomia,Gastronomía,Gastronomía Internacional; Técnico en Gastronomía,tecnica_ip_cft,profunda,cre,cre:0.4|tec:0.4|ges:0.2,log:0.15|esp:0.25|mem:0.30|ver:0.30,No requiere PAES (IP/CFT),,,,"Crear con las manos y alimentar gente: pocas pegas tan concretas. El costo es conocido: fines de semana trabajando, cocinas a 40 grados y partir desde abajo. Se ama o se deja.",,,,,
geologia,Geología,,universitaria,profunda,cie,cie:0.5|nat:0.4|tec:0.1,log:0.35|esp:0.35|mem:0.15|ver:0.15,CL+M1+M2+Ciencias,expansion,"mifuturo.cl 2025: empleabilidad 80,1% e ingresos $2,4-2,5 millones; auge del litio",Nicho de alta renta ligado a minería y litio,"Lees rocas como otros leen libros, y el litio convirtió eso en uno de los mejores sueldos de Chile. Terreno, cordillera y casi cero desempleo.",,,,,
ing_civil_electrica,Ingeniería Civil Eléctrica,,universitaria,profunda,tec,tec:0.6|cie:0.3|dat:0.1,log:0.40|esp:0.30|mem:0.15|ver:0.15,CL+M1+M2+Ciencias,expansion,"mifuturo.cl 2025: ingresos sobre $2,6 millones; transición energética (MinEnergía-BID 2025)",La carrera eléctrica de la transición energética,El país entero se está electrificando y los eléctricos somos pocos. De las ingenierías mejor pagadas — y con propósito de época incluido.,,,,,
ing_civil_mecanica,Ingeniería Civil Mecánica,,universitaria,profunda,tec,tec:0.7|cie:0.3,log:0.35|esp:0.40|mem:0.10|ver:0.15,CL+M1+M2+Ciencias,expansion,mifuturo.cl 2024-2025: alta empleabilidad e ingresos en ingenierías civiles,Demanda sostenida en industria y minería,"Si de niño desarmabas cosas para ver cómo funcionaban, esto es eso con sueldo: máquinas, plantas, minería. Todo lo que se mueve necesita un mecánico detrás.",,,,,
ing_civil_minas,Ingeniería Civil en Minas,Ingeniería Civil de Minas,universitaria,profunda,tec,tec:0.5|nat:0.3|cie:0.2,log:0.40|esp:0.30|mem:0.15|ver:0.15,CL+M1+M2+Ciencias,expansion,CCM-Eleva 2025: la gran minería requerirá ~37.000 nuevos trabajadores a 2034,El motor exportador de Chile con brecha de talento declarada,"Sueldos que doblan carreras, faenas lejos de casa y un país que vive de esto. La minería te paga bien porque también te pide harto: turnos 7x7 y desierto.",,,,,
ing_civil_quimica,Ingeniería Civil Química,Ingeniería Civil en Biotecnología,universitaria,profunda,cie,cie:0.5|tec:0.5,log:0.40|esp:0.20|mem:0.20|ver:0.20,CL+M1+M2+Ciencias,,,,"Las plantas de litio, hidrógeno y celulosa son gigantescos experimentos de química — y tú las diseñas. Nicho bien pagado que la transición energética está inflando.",,,,,
ing_comercial,Ingeniería Comercial,Administración de Empresas (universitaria),universitaria,profunda,ges,ges:0.6|dat:0.4,log:0.35|esp:0.05|mem:0.25|ver:0.35,CL+M1+Historia o M2,transformacion,WEF Future of Jobs 2025: funciones administrativas en transformación por IA; carrera estable con roles en cambio,"Sólida y masiva; las tareas rutinarias las toma la IA, el criterio comercial queda","La navaja suiza de los negocios: sirve para casi todo, compiten casi todos. Lo rutinario se automatiza; el olfato comercial y el liderazgo no.",,,,,
ing_energias_renovables,Ingeniería en Energías Renovables,Ingeniería Civil en Energía,universitaria,profunda,tec,tec:0.5|cie:0.3|nat:0.2,log:0.35|esp:0.25|mem:0.15|ver:0.25,CL+M1+M2+Ciencias,expansion,Ministerio de Energía-BID 2025: 12.000-27.000 nuevos trabajadores en 10 años por transición energética,Sector en construcción acelerada con brecha de perfiles declarada,"Chile tiene el mejor sol y viento del planeta y le faltan manos para aprovecharlos. Carrera nueva, sector en despegue: llegas temprano a la fiesta.",,,,,
ing_forestal_rrnn,Ingeniería Forestal / en Recursos Naturales,Ingeniería en Conservación; Ingeniería Ambiental (afín),universitaria,profunda,nat,nat:0.6|cie:0.2|tec:0.2,log:0.30|esp:0.20|mem:0.25|ver:0.25,CL+M1+Ciencias,,,,"Bosques, agua y normativa ambiental: cada proyecto del país necesita a alguien que entienda el territorio. Nicho chico que la crisis climática está agrandando.",,,,,
ing_informatica,Ingeniería en Informática / Computación,Analista Programador,universitaria,profunda,dat,dat:0.5|tec:0.3|cie:0.2,log:0.45|esp:0.15|mem:0.20|ver:0.20,CL+M1+M2,expansion,SENCE 2024: déficit de ~6.000 profesionales TI al año con 31% de vacantes sin cubrir,Brecha crónica de talento digital,"Faltan miles de personas que sepan hacer software, todos los años. La IA cambió el cómo, no el cuánto: quien entiende sistemas sigue eligiendo dónde trabajar.",,,,,
ingenieria_civil,Ingeniería Civil (plan común / Obras Civiles),,universitaria,profunda,tec,tec:0.5|cie:0.3|dat:0.2,log:0.40|esp:0.30|mem:0.15|ver:0.15,CL+M1+M2+Ciencias,expansion,mifuturo.cl 2024-2025: entre las carreras mejor pagadas y de alta empleabilidad,"Demanda transversal en infraestructura, minería y energía","Seis años de números duros a cambio de un pasaporte laboral que abre casi todo: obras, minería, energía. Exigente de entrada, versátil de salida.",,,,,
ingenieria_civil_en_computacion,Ingeniería Civil en Computación,,universitaria,profunda,dat,dat:0.5|cie:0.3|tec:0.2,log:0.50|esp:0.15|mem:0.15|ver:0.20,CL+M1+M2+Ciencias,expansion,SENCE 2024: déficit de ~6.000 profesionales TI al año con 31% de vacantes sin cubrir,Brecha crónica de talento digital; versión universitaria selectiva,"La versión más profunda del mundo del software: no solo programar, sino entender cómo funciona todo por debajo. Déficit de miles al año y la IA como herramienta, no como amenaza.",,,,,
ingenieria_civil_industrial,Ingeniería Civil Industrial,,universitaria,profunda,ges,ges:0.4|dat:0.3|tec:0.3,log:0.40|esp:0.15|mem:0.15|ver:0.30,CL+M1+M2+Ciencias,,,,"La navaja suiza de las ingenierías: procesos, plata y gestión. La más masiva y versátil — sirve para casi todo, y compites con casi todos.",,,,,
kinesiologia,Kinesiología,,universitaria,profunda,sal,sal:0.5|soc:0.3|cie:0.2,log:0.20|esp:0.20|mem:0.25|ver:0.35,CL+M1+Ciencias,,,,Recuperar a alguien que llegó en silla y se va caminando no tiene precio. Cobrarlo sí cuesta: mucho boleteo y pacientes que abandonan.,,,,,
medicina,Medicina,,universitaria,profunda,sal,sal:0.7|cie:0.3,log:0.30|esp:0.05|mem:0.35|ver:0.30,CL+M1+Ciencias,expansion,Déficit estructural de especialistas (Minsal 2019 contexto; listas de espera Minsal 2024); mifuturo.cl 2025,Demanda sostenida; la especialización posterior es casi obligatoria,"Vas a ayudar gente de verdad y también a llenar fichas a las 3 AM. Siete años mínimo, y la especialidad después es otra maratón.",,,,,
medicina_veterinaria,Medicina Veterinaria,,universitaria,profunda,nat,nat:0.5|sal:0.3|cie:0.2,log:0.25|esp:0.10|mem:0.35|ver:0.30,CL+M1+Ciencias,,,,"Amar a los animales es el requisito de entrada, no el trabajo: el trabajo incluye eutanasias, dueños complicados y muchos titulados compitiendo. Vocación a prueba de todo.",,,,,
nutricion,Nutrición y Dietética,,universitaria,profunda,sal,sal:0.5|cie:0.3|soc:0.2,log:0.25|esp:0.05|mem:0.30|ver:0.40,CL+M1+Ciencias,,,,Cambiar hábitos es más difícil que saber de nutrientes: la ciencia es la mitad; convencer a un ser humano que ama las sopaipillas es la otra.,,,,,
obstetricia,Obstetricia y Puericultura,Matrona/Matrón,universitaria,profunda,sal,sal:0.6|soc:0.4,log:0.20|esp:0.05|mem:0.35|ver:0.40,CL+M1+Ciencias,,,,Estás en el mejor día de la vida de alguien... y en los turnos donde nada sale según el plan. Pocas pegas con tanto significado por metro cuadrado.,,,,,
odontologia,Odontología,,universitaria,profunda,sal,sal:0.6|tec:0.4,log:0.20|esp:0.35|mem:0.20|ver:0.25,CL+M1+Ciencias,,,,"Precisión de relojero en la boca de alguien que te tiene miedo. Bien pagada, y montar consulta propia es también aprender a emprender.",,,,,
pedagogia_basica,Pedagogía en Educación Básica,,universitaria,profunda,soc,soc:0.7|cre:0.3,log:0.20|esp:0.05|mem:0.30|ver:0.45,CL+M1 (+requisitos Ley 20.903),expansion,Elige Educar 2021: déficit proyectado de 33.468 docentes idóneos a 2030,Déficit estructural de profesores; demanda asegurada por década,"Treinta cabros mirándote todos los días: agotador y adictivo. Chile necesita profes con urgencia — pega asegurada, sueldo y energía hay que negociarlos.",,,,,
pedagogia_fisica,Pedagogía en Física,Pedagogía en Matemática y Física,universitaria,profunda,cie,cie:0.5|soc:0.5,log:0.35|esp:0.20|mem:0.20|ver:0.25,CL+M1+Ciencias (+Ley 20.903),expansion,Elige Educar 2021: física entre las asignaturas con mayor déficit docente,Una de las combinaciones más escasas del sistema escolar,"Eres unicornio: profesor de física casi no hay. Colegios peleándose por ti, literal. Si te gusta la física Y la gente, esto es un pasillo vacío.",,,,,
pedagogia_media,"Pedagogía en Educación Media (Lenguaje, Historia, Matemática u otra)",,universitaria,profunda,soc,soc:0.6|cre:0.2|cie:0.2,log:0.25|esp:0.05|mem:0.30|ver:0.40,CL+M1 (+requisitos Ley 20.903),expansion,Elige Educar 2021: déficit de 33.468 docentes a 2030; asignaturas científicas entre las más deficitarias,"Déficit fuerte, especialmente en asignaturas científicas",Enseñarle tu ramo favorito a adolescentes que aún no saben que les gusta: ese es el deporte. Déficit de profes = pega donde elijas.,,,,,
pedagogia_parvularia,Pedagogía en Educación Parvularia,Educación de Párvulos; Educación Parvularia,universitaria,profunda,soc,soc:0.8|cre:0.2,log:0.15|esp:0.05|mem:0.30|ver:0.50,CL+M1 (+Ley 20.903),expansion,Elige Educar 2021: parvularia entre las áreas más afectadas por caída de matrícula,La base del sistema con la mayor caída de nuevos estudiantes,"Los primeros mil días definen media vida, y tú estás ahí. Trabajo gigante, reconocimiento pendiente — y déficit que juega a tu favor.",,,,,
pedagogia_quimica,Pedagogía en Química,Pedagogía en Biología y Química,universitaria,profunda,cie,cie:0.5|soc:0.5,log:0.35|esp:0.10|mem:0.30|ver:0.25,CL+M1+Ciencias (+Ley 20.903),expansion,Elige Educar 2021: química entre las asignaturas más deficitarias,Escasez severa de docentes de la especialidad,"Mismo cuento que física: casi no existen profes de química. Demanda desesperada, tú eliges dónde. La ciencia más la sala de clases, si te llama.",,,,,
periodismo,Periodismo,,universitaria,profunda,cre,cre:0.4|soc:0.4|ges:0.2,log:0.25|esp:0.00|mem:0.25|ver:0.50,CL+M1+Historia,transformacion,"mifuturo.cl 2024: empleabilidad 79,4% e ingresos ~$1,2-1,4 millones; industria en transformación",Los medios tradicionales se achican; la comunicación se reinventa en otros formatos,"Contar historias sigue siendo un superpoder; los diarios que pagaban por eso, no tanto. La pega está en contenidos, datos y estrategia — el título es el inicio.",,,,,
psicologia,Psicología,,universitaria,profunda,soc,soc:0.6|cie:0.4,log:0.25|esp:0.05|mem:0.25|ver:0.45,CL+M1+Historia o Ciencias,estable,mifuturo.cl 2024: 11.568 matriculados; empleabilidad ~77% e ingresos moderados frente al volumen de titulados,Demanda real en salud mental; competencia feroz por ella,Chile necesita salud mental a gritos y a la vez egresan miles de psicólogos al año. La vocación es real; la competencia también. Entra sabiéndolo.,,,,,
publicidad,Publicidad,,universitaria,profunda,cre,cre:0.6|ges:0.4,log:0.25|esp:0.10|mem:0.20|ver:0.45,CL+M1,,,,"Ideas bajo presión y con fecha de entrega: la creatividad acá es un deporte de equipo con cliente mirando. Intensa, entretenida, y la IA es tu herramienta o tu competencia.",,,,,
quimica_farmacia,Química y Farmacia,,universitaria,profunda,cie,cie:0.6|sal:0.4,log:0.35|esp:0.10|mem:0.30|ver:0.25,CL+M1+Ciencias,expansion,"mifuturo.cl 2025: empleabilidad 98,3%, la más alta del sistema universitario",La carrera con mejor empleabilidad de Chile y casi nadie la nombra,"La empleabilidad más alta de Chile y casi nadie te la ha nombrado. Farmacia, industria, laboratorio: el que sabe de moléculas no queda sin pega.",,,,,
sociologia,Sociología,,universitaria,profunda,soc,soc:0.5|cie:0.3|dat:0.2,log:0.30|esp:0.00|mem:0.25|ver:0.45,CL+M1+Historia,,,,"Aprendes a ver la matrix social: datos, personas, poder. La pega no viene con letrero de 'sociólogo' — la construyes en estudios, Estado o consultoría.",,,,,
tecnico_administracion,Técnico en Administración,Técnico en Gestión,tecnica_ip_cft,profunda,ges,ges:0.5|dat:0.5,log:0.30|esp:0.05|mem:0.30|ver:0.35,No requiere PAES (IP/CFT),transformacion,WEF Future of Jobs 2025: roles administrativos de oficina en declive por automatización,La vía técnica más expuesta a la IA; conviene especializarse,"Entrada rápida al mundo de la oficina, pero ojo: es justo el tipo de tarea que la IA está tomando. Si vas, especialízate (logística, RRHH, finanzas).",,,,,
tecnico_agricola,Técnico Agrícola,Técnico Agropecuario,tecnica_ip_cft,profunda,nat,nat:0.7|tec:0.3,log:0.25|esp:0.25|mem:0.25|ver:0.25,No requiere PAES (IP/CFT),,,,"La agroindustria se tecnificó y necesita técnicos que sepan de riego, drones y packing — no solo de tierra. Vía corta con harto campo, literal.",,,,,
tecnico_educacion_parvularia,Técnico en Educación Parvularia,Asistente de Párvulos,tecnica_ip_cft,profunda,soc,soc:0.8|cre:0.2,log:0.15|esp:0.05|mem:0.30|ver:0.50,No requiere PAES (IP/CFT),,,,"Las salas cuna necesitan más manos de las que hay: entrada rápida a trabajar con los más chicos, con opción de seguir a la pedagogía después.",,,,,
tecnico_electricidad,Técnico en Electricidad,Técnico en Electricidad y Electromovilidad,tecnica_ip_cft,profunda,tec,tec:0.8|cie:0.2,log:0.30|esp:0.35|mem:0.20|ver:0.15,No requiere PAES (IP/CFT),expansion,mifuturo.cl: técnicos en electrónica/electricidad con empleabilidad ~86%; transición energética (MinEnergía-BID 2025),Electromovilidad y renovables demandan técnicos electricistas,"Todo lo que Chile quiere hacer — autos eléctricos, paneles, data centers — pasa por un electricista. Corta, concreta y con la demanda de tu lado.",,,,,
tecnico_en_contabilidad,Técnico en Contabilidad,Contabilidad General,tecnica_ip_cft,profunda,dat,dat:0.8|ges:0.2,log:0.30|esp:0.05|mem:0.35|ver:0.30,No requiere PAES (IP/CFT),transformacion,WEF Future of Jobs 2025: funciones de registro y entrada de datos en declive por automatización,La digitación la toma el software; el análisis y el criterio tributario quedan,"Entrada rápida y demanda pareja — pero es la zona que más rápido está automatizando el software contable. Si vas, apunta a análisis y tributaria, no a digitar.",,,,,
tecnico_en_mecanica_automotriz,Técnico en Mecánica Automotriz,,tecnica_ip_cft,profunda,tec,tec:0.8|dat:0.2,log:0.25|esp:0.40|mem:0.20|ver:0.15,No requiere PAES (IP/CFT),,,,"Los autos se están volviendo computadores con ruedas: el mecánico que entienda electrónica y electromovilidad va a tener taller lleno por veinte años. El que no, no.",,,,,
tecnico_en_prevencion_de_riesgos,Técnico en Prevención de Riesgos,Ingeniería en Prevención de Riesgos,tecnica_ip_cft,profunda,tec,tec:0.4|dat:0.3|soc:0.3,log:0.30|esp:0.15|mem:0.25|ver:0.30,No requiere PAES (IP/CFT),,,,"Toda faena, planta y obra del país te necesita por ley. Pega estable y de terreno; el desafío es que te respeten la pega: eres el que dice ""esto no se hace así"".",,,,,
tecnico_enfermeria,Técnico en Enfermería,TENS,tecnica_ip_cft,profunda,sal,sal:0.7|soc:0.3,log:0.15|esp:0.10|mem:0.40|ver:0.35,No requiere PAES (IP/CFT),expansion,mifuturo.cl: empleabilidad ~77% en programas técnicos de salud; demanda por envejecimiento (INE),Vía técnica con salida rápida al mundo de la salud,"La primera línea del cuidado: tú estás con el paciente más horas que nadie. Entrada rápida al mundo salud, con opción de seguir escalando después.",,,,,
tecnico_mantenimiento,Técnico en Mantenimiento Industrial,Mantenimiento Mecánico / Electromecánica,tecnica_ip_cft,profunda,tec,tec:0.8|dat:0.2,log:0.30|esp:0.35|mem:0.20|ver:0.15,No requiere PAES (IP/CFT),expansion,"mifuturo.cl: ~84% empleabilidad y sueldos >$1,3 millones; CCM-Eleva 2025: mantenedor mecánico entre los perfiles más demandados de la minería",El perfil técnico más buscado por la industria,"El perfil que la minería más busca y casi nadie estudia: 2-3 años, sueldo mejor que muchas carreras de 5, y las plantas peleando por ti.",,,,,
tecnico_mineria,Técnico en Minería,Operación de Equipos Mineros,tecnica_ip_cft,profunda,tec,tec:0.6|nat:0.4,log:0.25|esp:0.35|mem:0.25|ver:0.15,No requiere PAES (IP/CFT),expansion,mifuturo.cl: empleabilidad ~88% en técnicos de minería; CCM-Eleva 2025: 37.000 trabajadores a 2034,Vía técnica directa al sector mejor pagado del país,"La entrada rápida al sector que mejor paga en Chile: 2-3 años y a faena. El costo es el mismo de siempre: turnos, campamento y estar lejos.",,,,,
tecnologia_medica,Tecnología Médica,,universitaria,profunda,sal,sal:0.5|cie:0.4|dat:0.1,log:0.30|esp:0.15|mem:0.30|ver:0.25,CL+M1+Ciencias,,,,"Eres el ojo que ve lo que el médico diagnostica: exámenes, imágenes, laboratorio. Protagonismo bajo, precisión altísima.",,,,,
terapia_ocupacional,Terapia Ocupacional,,universitaria,profunda,sal,sal:0.6|soc:0.4,log:0.20|esp:0.15|mem:0.25|ver:0.40,CL+M1+Ciencias,,,,"Le devuelves a las personas su vida diaria: vestirse, trabajar, valerse solas. Profesión en crecimiento silencioso con el envejecimiento del país empujando por detrás.",,,,,
trabajo_social,Trabajo Social,,universitaria,profunda,soc,soc:0.7|ges:0.3,log:0.20|esp:0.05|mem:0.25|ver:0.50,CL+M1+Historia o Ciencias,,,,"Trabajas donde el Estado y la vida real se encuentran: casos duros, recursos cortos, y la satisfacción de mover cosas que sí cambian vidas.",,,,,
traduccion,Traducción e Interpretación,,universitaria,profunda,cre,cre:0.4|soc:0.3|dat:0.3,log:0.25|esp:0.00|mem:0.35|ver:0.40,CL+M1,contraccion,"mifuturo.cl 2025: empleabilidad 46,4%, entre las más bajas del sistema; alta exposición a IA generativa",La traducción genérica la tomó la IA; sobrevive la especializada e interpretación en vivo,"Los datos duros son duros: menos de la mitad con pega al año, y la IA traduce lo genérico gratis. Si es lo tuyo, el refugio es la especialización extrema: legal, médica, interpretación en vivo.",,,,,
